CMDLINE python3 src/pluckpalatte/pluckutils.py -p tests/data/bigWes.png
MEM 0.140625 1683781667.2463
MEM 29.609375 1683781667.3515
MEM 43.015625 1683781667.4576
MEM 54.218750 1683781667.5628
MEM 61.031250 1683781667.6669
MEM 76.875000 1683781667.7695
MEM 94.296875 1683781667.8746
MEM 116.953125 1683781667.9781
MEM 472.218750 1683781668.0833
MEM 590.218750 1683781668.1885
MEM 702.265625 1683781668.2936
MEM 587.578125 1683781668.3988
MEM 821.750000 1683781668.5040
MEM 876.359375 1683781668.6129
MEM 1048.953125 1683781668.7180
MEM 1048.968750 1683781668.8283
MEM 704.000000 1683781668.9335
MEM 704.578125 1683781669.0402
MEM 719.156250 1683781669.1417
MEM 734.734375 1683781669.2469
MEM 741.953125 1683781669.3521
MEM 746.187500 1683781669.4573
MEM 749.156250 1683781669.5606
MEM 756.359375 1683781669.6658
MEM 756.359375 1683781669.7703
MEM 756.359375 1683781669.8755
MEM 756.359375 1683781669.9806
MEM 756.359375 1683781670.0858
MEM 756.359375 1683781670.1909
MEM 756.359375 1683781670.2961
MEM 756.390625 1683781670.4013
MEM 756.390625 1683781670.5064
